Plot,Date,Week,Plant_sp,N_ind_flowers
A,3/23/23,2,ROFF,5
A,3/23/23,2,HCOM,95
A,3/23/23,2,SGEN,16
A,3/23/23,2,LPED,63
A,3/23/23,2,TGUT,200
B,3/23/23,2,LPED,91
B,3/23/23,2,SGEN,9
B,3/23/23,2,ROFF,38
B,3/23/23,2,TGUT,65
D,3/23/23,2,LPED,70
D,3/23/23,2,SGEN,20
D,3/23/23,2,HCOM,60
E,3/23/23,2,HCOM,175
E,3/23/23,2,ROFF,19
E,3/23/23,2,SGEN,14
E,3/23/23,2,LPED,21
E,3/23/23,2,TGUT,3
F,3/23/23,2,ROFF,43
F,3/23/23,2,SGEN,21
F,3/23/23,2,LPED,14
F,3/23/23,2,TGUT,10
F,3/23/23,2,HCOM,110
A,3/29/23,3,ROFF,5
A,3/29/23,3,HCOM,95
A,3/29/23,3,SGEN,16
A,3/29/23,3,LPED,79
A,3/29/23,3,TGUT,200
B,3/29/23,3,HCOM,80
B,3/29/23,3,LPED,106
B,3/29/23,3,SGEN,9
B,3/29/23,3,ROFF,38
B,3/29/23,3,TGUT,65
D,3/29/23,3,LPED,94
D,3/29/23,3,SGEN,20
D,3/29/23,3,HCOM,60
D,3/29/23,3,MTRI,20
E,3/29/23,3,HCOM,175
E,3/29/23,3,ROFF,19
E,3/29/23,3,SGEN,2
E,3/29/23,3,LPED,77
E,3/29/23,3,TGUT,3
F,3/29/23,3,ROFF,43
F,3/29/23,3,SGEN,21
F,3/29/23,3,LPED,32
F,3/29/23,3,TGUT,10
F,3/29/23,3,HCOM,110
A,4/3/23,4,ROFF,5
A,4/3/23,4,HCOM,95
A,4/3/23,4,SGEN,16
A,4/3/23,4,LPED,79
A,4/3/23,4,TGUT,200
E,4/3/23,4,ROFF,19
E,4/3/23,4,SGEN,2
E,4/3/23,4,LPED,77
E,4/3/23,4,TGUT,3
E,4/3/23,4,CSAL,3
E,4/3/23,4,HCOM,175
A,4/10/23,5,HCOM,95
A,4/10/23,5,LPED,79
A,4/10/23,5,CLIB,1
A,4/10/23,5,ROFF,5
A,4/10/23,5,LVIS,100
A,4/10/23,5,TGUT,200
B,4/10/23,5,HCOM,80
B,4/10/23,5,CLIB,5
B,4/10/23,5,AVEL,1
B,4/10/23,5,ROFF,38
B,4/10/23,5,LVIS,40
B,4/10/23,5,LPED,90
B,4/10/23,5,TGUT,65
D,4/10/23,5,LPED,94
D,4/10/23,5,HCOM,60
D,4/10/23,5,HHAL,1
D,4/10/23,5,MTRI,25
D,4/10/23,5,ROFF,3
E,4/10/23,5,HCOM,175
E,4/10/23,5,LPED,77
E,4/10/23,5,ROFF,19
E,4/10/23,5,CSAL,1
E,4/10/23,5,CLIB,1
F,4/13/23,5,HCOM,110
F,4/13/23,5,LPED,32
F,4/13/23,5,ROFF,43
F,4/13/23,5,AVEL,3
A,4/19/23,6,HHAL,3
A,4/19/23,6,LPED,79
A,4/19/23,6,CLIB,5
A,4/19/23,6,HCOM,19
A,4/19/23,6,AST_sp1,20
A,4/19/23,6,AVEL,1
B,4/19/23,6,CLIB,36
B,4/19/23,6,LPED,106
B,4/19/23,6,AVEL,2
B,4/19/23,6,HHAL,1
B,4/19/23,6,LVIS,65
D,4/19/23,6,AVEL,1
D,4/19/23,6,LPED,94
D,4/19/23,6,CLIB,8
D,4/19/23,6,HHAL,2
D,4/19/23,6,LVIS,40
E,4/19/23,6,LPED,77
E,4/19/23,6,HCOM,34
E,4/19/23,6,CLIB,11
E,4/19/23,6,ROFF,4
E,4/19/23,6,AVEL,4
F,4/19/23,6,ROFF,11
F,4/19/23,6,AVEL,5
F,4/19/23,6,LPED,32
F,4/19/23,6,CLIB,5
F,4/19/23,6,HCOM,8
F,4/19/23,6,HHAL,1
A,4/25/23,7,CLIB,14
A,4/19/23,7,AST_sp1,60
A,4/25/23,7,HHAL,2
A,4/25/23,7,AVEL,1
A,4/25/23,7,LPED,79
A,4/25/23,7,LVIS,50
A,4/25/23,7,HCOM,5
B,4/25/23,7,HHAL,5
B,4/25/23,7,CLIB,36
B,4/25/23,7,AVEL,4
B,4/25/23,7,LPED,106
B,4/25/23,7,AST_sp1,50
D,4/25/23,7,HHAL,4
D,4/25/23,7,CLIB,16
D,4/25/23,7,LPED,94
E,4/25/23,7,HHAL,8
E,4/25/23,7,CLIB,20
E,4/25/23,7,LPED,77
E,4/25/23,7,AST_sp1,75
F,4/25/23,7,HHAL,4
F,4/25/23,7,CLIB,9
F,4/25/23,7,AVEL,7
F,4/25/23,7,ROFF,11
F,4/25/23,7,LPED,32
F,4/25/23,7,HCOM,8
A,5/2/23,8,CLIB,12
A,5/2/23,8,LPED,79
A,5/2/23,8,HHAL,6
A,5/2/23,8,TMAS,4
B,5/2/23,8,CLIB,36
B,5/2/23,8,HHAL,8
B,5/2/23,8,AVEL,4
B,5/2/23,8,LPED,106
B,5/2/23,8,TMAS,1
D,5/4/23,8,LPED,94
D,5/4/23,8,CLIB,18
D,5/4/23,8,TMAS,1
D,5/4/23,8,HHAL,6
E,5/4/23,8,LPED,77
E,5/4/23,8,CLIB,21
E,5/4/23,8,HHAL,7
E,5/4/23,8,AVEL,4
E,5/4/23,8,TMAS,2
A,5/9/23,9,LPED,79
A,5/9/23,9,HHAL,5
A,5/9/23,9,TMAS,3
A,5/9/23,9,CLIB,5
A,5/9/23,9,AVEL,1
E,5/9/23,9,HHAL,10
E,5/9/23,9,LPED,26
E,5/9/23,9,CLIB,7
A,4/7/25,13,HCOM,83
A,4/7/25,13,LPED,127
A,4/7/25,13,TGUT,2000
A,4/7/25,13,SGEN,6
A,4/7/25,13,LVIS,100
A,4/7/25,13,AST_sp1,2500
A,4/7/25,13,AST_sp3,2500
B,4/7/25,13,LPED,87
B,4/7/25,13,AST_sp1,1000
B,4/7/25,13,CLIB,43
B,4/7/25,13,AST_sp3,1000
F,4/9/25,13,HCOM,58
F,4/9/25,13,LPED,64
F,4/9/25,13,ROFF,19
