"Plant_id","Plot","Plant_sp","X","Y"
"1","A","UPAR",721878.785,4099210.022
"10","A","UPAR",721878.925,4099205.347
"100","F","ROFF",721724.635,4098190.902
"101","F","ROFF",721728.607,4098183.493
"102","F","ROFF",721719.776,4098180.772
"103","F","ROFF",721726.587,4098173.095
"104","F","ROFF",721715.233,4098168.784
"105","F","ROFF",721722.898,4098178.75
"106","A","HCOM",721889.552,4099213.451
"107","A","HCOM",721884.209,4099205.798
"108","A","HCOM",721887.585,4099218.668
"109","A","HCOM",721880.759,4099208.092
"11","A","UPAR",721885.816,4099216.119
"110","A","HCOM",721887.095,4099209.896
"111","A","HCOM",721880.77,4099211.938
"112","A","HCOM",721881.546,4099221.112
"113","A","HCOM",721883.703,4099214.663
"114","A","HCOM",721885.932,4099222.86
"115","A","HCOM",721873.622,4099211.143
"116","A","HCOM",721886.51,4099213.121
"117","A","HCOM",721890.194,4099220.479
"118","A","HCOM",721878.478,4099211.668
"119","A","HCOM",721878.641,4099208.519
"12","A","UPAR",721890.753,4099218.831
"120","A","HCOM",721888.862,4099207.523
"121","B","HCOM",721865.925,4099090.048
"122","B","HCOM",721868.92,4099092.3
"123","B","HCOM",721868.254,4099085.666
"124","B","HCOM",721861.251,4099083.71
"125","B","HCOM",721861.885,4099088.554
"126","B","HCOM",721873.471,4099091.936
"127","B","HCOM",721873.395,4099097.963
"128","B","HCOM",721871.44,4099081.408
"129","B","HCOM",721873.53,4099076.638
"13","A","UPAR",721885.772,4099219.422
"130","B","HCOM",721875.541,4099087.265
"131","B","HCOM",721861.789,4099075.526
"132","B","HCOM",721871.727,4099085.668
"133","B","HCOM",721862.531,4099092.303
"134","B","HCOM",721858.861,4099087.16
"135","B","HCOM",721867.668,4099080.277
"136","C","HCOM",721815.273,4098790.489
"137","C","HCOM",721811.492,4098792.564
"138","C","HCOM",721813.117,4098796.601
"139","C","HCOM",721816.153,4098782.807
"14","A","UPAR",721885.187,4099222.437
"140","C","HCOM",721813.183,4098786.834
"141","C","HCOM",721821.907,4098790.321
"142","C","HCOM",721824.563,4098796.436
"143","C","HCOM",721826.892,4098785.581
"144","C","HCOM",721825.143,4098790.93
"145","C","HCOM",721824.133,4098785.628
"146","C","HCOM",721811.122,4098785.975
"147","C","HCOM",721816.415,4098791.373
"148","C","HCOM",721818.302,4098781.785
"149","C","HCOM",721808.713,4098790.857
"15","A","UPAR",721871.951,4099219.168
"150","C","HCOM",721819.31,4098785.765
"151","D","HCOM",721791.662,4098621.863
"152","D","HCOM",721788.735,4098618.779
"153","D","HCOM",721793.826,4098613.718
"154","D","HCOM",721794.998,4098619.411
"155","D","HCOM",721791.314,4098629.784
"156","D","HCOM",721780.855,4098630.396
"157","D","HCOM",721779.305,4098618.179
"158","D","HCOM",721783.982,4098619.617
"159","D","HCOM",721777.078,4098622.885
"16","B","ROFF",721870.41,4099080.034
"160","D","HCOM",721774.524,4098620.535
"161","D","HCOM",721787.946,4098608.923
"162","D","HCOM",721786.433,4098627.213
"163","D","HCOM",721790.302,4098618.857
"164","D","HCOM",721789.811,4098614.539
"165","D","HCOM",721775.803,4098627.043
"166","D","SGEN",721792.384,4098621.006
"167","D","SGEN",721789.821,4098617.353
"168","D","SGEN",721789.09,4098614.557
"169","D","SGEN",721795.715,4098613.887
"17","B","ROFF",721861.711,4099085.448
"170","D","SGEN",721791.316,4098627.236
"171","D","SGEN",721779.305,4098616.939
"172","D","SGEN",721776.526,4098626.716
"173","D","SGEN",721785.811,4098625.687
"174","D","SGEN",721777.718,4098622.134
"175","D","SGEN",721779.1,4098627.343
"176","D","SGEN",721786.756,4098616.86
"177","D","SGEN",721786.242,4098620.396
"178","D","SGEN",721778.539,4098613.825
"179","D","SGEN",721775.778,4098618.991
"18","B","ROFF",721864.39,4099079.68
"180","D","SGEN",721775.889,4098622.145
"181","E","HCOM",721722,4098347.268
"182","E","HCOM",721725.474,4098340.628
"183","E","HCOM",721728.143,4098347.38
"184","E","HCOM",721721.429,4098340.243
"185","E","HCOM",721720.18,4098334.585
"186","E","HCOM",721731.682,4098336.39
"187","E","HCOM",721727.637,4098330.178
"188","E","HCOM",721733.253,4098340.982
"189","E","HCOM",721732.714,4098330.767
"19","B","ROFF",721862.04,4099089.043
"190","E","HCOM",721727.048,4098333.017
"191","E","HCOM",721728.526,4098343.204
"192","E","HCOM",721723.639,4098336.038
"193","E","HCOM",721733.065,4098326.945
"194","E","HCOM",721730.169,4098334.598
"195","E","HCOM",721737.487,4098339.491
"196","F","HCOM",721714.719,4098190.737
"197","F","HCOM",721719.68,4098188.425
"198","F","HCOM",721724.362,4098184.387
"199","F","HCOM",721730.409,4098182.275
"2","A","UPAR",721884.837,4099209.955
"20","B","ROFF",721877.478,4099083.906
"200","F","HCOM",721725.715,4098187.448
"201","F","HCOM",721711.746,4098177.938
"202","F","HCOM",721727.657,4098180.189
"203","F","HCOM",721718.639,4098174.563
"204","F","HCOM",721725.759,4098172.666
"205","F","HCOM",721722.164,4098178.493
"206","F","HCOM",721721.648,4098170.598
"207","F","HCOM",721731.377,4098176.881
"208","F","HCOM",721719.531,4098182.212
"209","F","HCOM",721721.696,4098190.015
"21","B","ROFF",721866.787,4099095.656
"210","F","HCOM",721716.846,4098183.757
"211","F","SGEN",721720.926,4098192.984
"212","F","UPAR",721716.41,4098190.985
"213","F","SGEN",721722.038,4098182.445
"214","F","UPAR",721728.817,4098179.662
"215","F","SGEN",721726.28,4098189.651
"216","F","SGEN",721729.157,4098175.712
"217","F","SGEN",721714.711,4098174.4
"218","F","UPAR",721722.642,4098176.79
"219","F","SGEN",721724.272,4098173.359
"22","B","ROFF",721874.637,4099094.252
