Obs_id,Plot,Date,Week,Time,Pollinator_sp,Plant_sp,Plant_id,Step,N_flowers,N_visits,Distance
36,A,3/22/23,2,11:05,Lasioglossum_sp,HCOM,1,1,41,7,
36,A,3/22/23,2,11:05,Lasioglossum_sp,HCOM,2,2,58,11,25
36,A,3/22/23,2,11:05,Lasioglossum_sp,HCOM,3,3,59,1,10
36,A,3/22/23,2,11:05,Lasioglossum_sp,HCOM,4,4,21,4,10
36,A,3/22/23,2,11:05,Lasioglossum_sp,HCOM,5,5,76,2,8
37,A,3/22/23,2,11:21,Eristalis_sp,HCOM,1,1,34,2,
38,A,3/22/23,2,11:22,Lasioglossum_sp,HCOM,1,1,105,2,
38,A,3/22/23,2,11:22,Lasioglossum_sp,TGUT,1,2,1,1,6
38,A,3/22/23,2,11:22,Lasioglossum_sp,HCOM,2,3,57,20,9
39,A,3/22/23,2,11:26,Lasioglossum_sp,HCOM,1,1,87,NA,
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,1,1,6,1,
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,2,2,23,4,9
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,3,3,41,5,8
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,2,2,23,2,8
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,4,4,97,8,16
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,5,5,140,7,9
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,6,6,24,3,4
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,7,7,46,1,16
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,8,8,87,10,11
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,9,9,83,7,9
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,10,10,220,12,11
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,11,11,99,1,13
40,A,3/22/23,2,11:27,Megachile_sicula,HCOM,12,12,130,2,23
41,A,3/22/23,2,11:26,Anthophora_sp,SGEN,1,1,20,1,
41,A,3/22/23,2,11:26,Anthophora_sp,LPED,1,2,3,1,3
42,D,3/22/23,2,12:11,Xylocopa_cantabrita,SGEN,1,1,60,3,
43,D,3/22/23,2,12:13,Anthophora_sp,LPED,1,1,2,1,
44,E,3/22/23,2,12:33,Apis_mellifera,HCOM,1,1,96,12,
44b,E,3/22/23,2,12:35,Anthophora_sp,HCOM,1,1,140,2,
45,E,3/22/23,2,12:40,Lasioglossum_sp,HCOM,1,1,83,12,
45,E,3/22/23,2,12:40,Lasioglossum_sp,HCOM,2,2,32,2,12
45,E,3/22/23,2,12:40,Lasioglossum_sp,HCOM,1,1,47,1,10
46,E,3/22/23,2,12:44,Xylocopa_cantabrita,ROFF,1,1,31,11,
47,E,3/22/23,2,12:47,Xylocopa_cantabrita,ROFF,1,1,170,1,
48,F,3/22/23,2,13:11,Apis_mellifera,ROFF,1,1,460,12,
49,F,3/22/23,2,13:23,Lasioglossum_sp,ROFF,1,1,170,3,
50,F,3/23/23,2,10:30,Xylocopa_cantabrita,ROFF,1,1,1060,11,
50,F,3/23/23,2,10:30,Xylocopa_cantabrita,HCOM,1,2,141,2,22
50,F,3/23/23,2,10:30,Xylocopa_cantabrita,ROFF,2,3,50,1,4
